CVE_ENT,NOM_ENT,NOM_ABR,FECHA_ACT,COD_ACT,DESCRIPT
"04","CAMPECHE","CAMP.","2000-01-31","*","PRIMER REGISTRO EN LA BASE DE DATOS"
"07","CHIAPAS","CHIS.","2000-01-31","*","PRIMER REGISTRO EN LA BASE DE DATOS"
"08","CHIHUAHUA","CHIH.","2000-01-31","*","PRIMER REGISTRO EN LA BASE DE DATOS"
"09","DISTRITO FEDERAL","DF","2000-01-31","*","PRIMER REGISTRO EN LA BASE DE DATOS"
"10","DURANGO","DGO.","2000-01-31","*","PRIMER REGISTRO EN LA BASE DE DATOS"
"20","OAXACA","OAX.","2000-01-31","*","PRIMER REGISTRO EN LA BASE DE DATOS"
"22","QUERÉTARO DE ARTEAGA","QRO.","2000-01-31","*","PRIMER REGISTRO EN LA BASE DE DATOS"
"23","QUINTANA ROO","Q. ROO","2000-01-31","*","PRIMER REGISTRO EN LA BASE DE DATOS"
"27","TABASCO","TAB.","2000-01-31","*","PRIMER REGISTRO EN LA BASE DE DATOS"
"30","VERACRUZ-LLAVE","VER.","2000-01-31","*","PRIMER REGISTRO EN LA BASE DE DATOS"
"31","YUCATÁN","YUC.","2000-01-31","*","PRIMER REGISTRO EN LA BASE DE DATOS"
